message;severity;node;stamp;topics;location
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1536981837.677888596";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"Subscribing to /camera_info";"2";"/record_1536981836316095312";"1536981837.672834400";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"Subscribing to /image_color/theora/parameter_descriptions";"2";"/record_1536981836316095312";"1536981837.665467418";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"Subscribing to /camera_info";"2";"/record_1536981836316095312";"1536981837.672834400";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"Subscribing to /image_color/theora/parameter_descriptions";"2";"/record_1536981836316095312";"1536981837.665467418";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"Subscribing to /image_rect";"2";"/record_1536981836316095312";"1536981837.658659496";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"Subscribing to /image_rect";"2";"/record_1536981836316095312";"1536981837.658659496";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"Subscribing to /image_proc_rectify_color/parameter_updates";"2";"/record_1536981836316095312";"1536981837.651699329";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"Subscribing to /image_proc_rectify_color/parameter_updates";"2";"/record_1536981836316095312";"1536981837.651699329";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"kappa :-0.0881416";"2";"/pure_pursuit";"1536981837.644707157";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1536981837.644596026";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"kappa :-0.0875599";"2";"/pure_pursuit";"1536981837.611401454";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"kappa :-0.0881416";"2";"/pure_pursuit";"1536981837.644707157";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1536981837.644596026";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"kappa :-0.0875599";"2";"/pure_pursuit";"1536981837.611401454";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"Subscribing to /vehicle/brake_cmd";"2";"/record_1536981836316095312";"1536981837.636616375";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"Subscribing to /vehicle/brake_cmd";"2";"/record_1536981836316095312";"1536981837.636616375";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"Subscribing to /image_rect/theora/parameter_updates";"2";"/record_1536981836316095312";"1536981837.622809134";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1536981837.611308050";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"kappa :-0.0875599";"2";"/pure_pursuit";"1536981837.578082005";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"Subscribing to /image_rect/theora/parameter_updates";"2";"/record_1536981836316095312";"1536981837.622809134";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1536981837.611308050";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"kappa :-0.0875599";"2";"/pure_pursuit";"1536981837.578082005";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"Subscribing to /image_color/theora/parameter_updates";"2";"/record_1536981836316095312";"1536981837.609479030";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"Subscribing to /image_color/theora/parameter_updates";"2";"/record_1536981836316095312";"1536981837.609479030";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"Subscribing to /image_color";"2";"/record_1536981836316095312";"1536981837.598939540";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"Subscribing to /image_color";"2";"/record_1536981836316095312";"1536981837.598939540";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"Subscribing to /vehicle/throttle_cmd";"2";"/record_1536981836316095312";"1536981837.588223240";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"Subscribing to /vehicle/throttle_cmd";"2";"/record_1536981836316095312";"1536981837.588223240";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1536981837.577982209";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"kappa :-0.0875599";"2";"/pure_pursuit";"1536981837.544674371";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"Subscribing to /image_rect/compressedDepth/parameter_descriptions";"2";"/record_1536981836316095312";"1536981837.575019208";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1536981837.577982209";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"kappa :-0.0875599";"2";"/pure_pursuit";"1536981837.544674371";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"Subscribing to /image_rect/compressedDepth/parameter_descriptions";"2";"/record_1536981836316095312";"1536981837.575019208";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"Subscribing to /image_rect_color/theora/parameter_updates";"2";"/record_1536981836316095312";"1536981837.563535520";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"Subscribing to /image_rect_color/theora/parameter_updates";"2";"/record_1536981836316095312";"1536981837.563535520";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"Subscribing to /image_rect/compressed/parameter_updates";"2";"/record_1536981836316095312";"1536981837.551519508";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"Subscribing to /image_rect/compressed/parameter_updates";"2";"/record_1536981836316095312";"1536981837.551519508";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1536981837.544602861";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"Subscribing to /twist_cmd";"2";"/record_1536981836316095312";"1536981837.540225369";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1536981837.544602861";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"Subscribing to /twist_cmd";"2";"/record_1536981836316095312";"1536981837.540225369";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"Subscribing to /image_rect/theora/parameter_descriptions";"2";"/record_1536981836316095312";"1536981837.529474611";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"Subscribing to /image_rect/theora/parameter_descriptions";"2";"/record_1536981836316095312";"1536981837.529474611";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"Subscribing to /image_rect/compressed/parameter_descriptions";"2";"/record_1536981836316095312";"1536981837.518226309";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"kappa :-0.0875599";"2";"/pure_pursuit";"1536981837.511399914";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1536981837.511311086";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"kappa :-0.087746";"2";"/pure_pursuit";"1536981837.477973025";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"Subscribing to /image_rect_color/compressedDepth/parameter_updates";"2";"/record_1536981836316095312";"1536981837.505936433";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"Subscribing to /image_rect/compressed/parameter_descriptions";"2";"/record_1536981836316095312";"1536981837.518226309";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"kappa :-0.0875599";"2";"/pure_pursuit";"1536981837.511399914";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1536981837.511311086";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"kappa :-0.087746";"2";"/pure_pursuit";"1536981837.477973025";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"Subscribing to /image_rect_color/compressedDepth/parameter_updates";"2";"/record_1536981836316095312";"1536981837.505936433";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"Subscribing to /image_rect/theora";"2";"/record_1536981836316095312";"1536981837.494547825";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"Subscribing to /image_rect/theora";"2";"/record_1536981836316095312";"1536981837.494547825";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"Subscribing to /image_rect_color/compressed/parameter_updates";"2";"/record_1536981836316095312";"1536981837.482804924";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"Subscribing to /image_rect_color/compressed/parameter_updates";"2";"/record_1536981836316095312";"1536981837.482804924";"/rosout";"/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp:shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe:211"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1536981837.477904300";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"kappa :-0.087746";"2";"/pure_pursuit";"1536981837.444753140";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1536981837.477904300";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"kappa :-0.087746";"2";"/pure_pursuit";"1536981837.444753140";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1536981837.444684948";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"kappa :-0.087746";"2";"/pure_pursuit";"1536981837.411398850";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1536981837.411298373";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"kappa :-0.0873526";"2";"/pure_pursuit";"1536981837.378244726";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
